name,total_bytes_sent,total_bytes_recv,total_packets_sent,total_packets_recv,total_errin,total_errout,total_dropout,eventType,date,bytes_sent,bytes_recv,packets_sent,packets_recv,errin,errout,dropout
lo,2831845,2831845,21785,21785,0,0,0,4,1619970066,0,0,0,0,0,0,0
enx00e04c6acbf8,4215197,50442334,20533,47545,0,0,0,4,1619970066,0,0,0,0,0,0,0
wlp1s0,89375,409204,831,5363,0,0,0,4,1619970066,0,0,0,0,0,0,0
docker0,0,0,0,0,0,0,0,4,1619970066,0,0,0,0,0,0,0
lo,2875478,2875478,22279,22279,0,0,0,4,1619970186,43633,43633,494,494,0,0,0
enx00e04c6acbf8,4350212,51063914,21139,48373,0,0,0,4,1619970186,135015,621580,606,828,0,0,0
wlp1s0,91889,415439,855,5464,0,0,0,4,1619970186,2514,6235,24,101,0,0,0
docker0,0,0,0,0,0,0,0,4,1619970186,0,0,0,0,0,0,0
lo,3064359,3064359,23331,23331,0,0,0,4,1619970407,0,0,0,0,0,0,0
enx00e04c6acbf8,4451312,51183171,21633,48808,0,0,0,4,1619970407,0,0,0,0,0,0,0
wlp1s0,95738,425987,890,5638,0,0,0,4,1619970407,0,0,0,0,0,0,0
docker0,0,0,0,0,0,0,0,4,1619970407,0,0,0,0,0,0,0
lo,3076625,3076625,23467,23467,0,0,0,4,1619970442,0,0,0,0,0,0,0
enx00e04c6acbf8,4467761,51207409,21708,48878,0,0,0,4,1619970442,0,0,0,0,0,0,0
wlp1s0,95998,427639,894,5666,0,0,0,4,1619970442,0,0,0,0,0,0,0
docker0,0,0,0,0,0,0,0,4,1619970442,0,0,0,0,0,0,0
lo,3119899,3119899,23955,23955,0,0,0,4,1619970562,43274,43274,488,488,0,0,0
enx00e04c6acbf8,4735797,55128284,23164,52489,0,0,0,4,1619970562,268036,3920875,1456,3611,0,0,0
wlp1s0,97726,433095,910,5758,0,0,0,4,1619970562,1728,5456,16,92,0,0,0
docker0,0,0,0,0,0,0,0,4,1619970562,0,0,0,0,0,0,0
