fd,type,laddr,raddr,pid,detection_time,closed_time
30,1,"addr(ip='192.168.1.38', port=37018)","addr(ip='40.77.226.250', port=443)",10363,1620552631,1620552641
165,2,"addr(ip='192.168.1.38', port=56435)",(),4054,1620552641,1620552651
31,1,"addr(ip='192.168.1.38', port=39512)","addr(ip='52.114.104.172', port=443)",2729,1620552620,1620552671
33,1,"addr(ip='192.168.1.38', port=35314)","addr(ip='52.113.194.132', port=443)",2729,1620552620,1620552691
67,1,"addr(ip='192.168.1.38', port=49044)","addr(ip='142.250.201.68', port=443)",4093,1620552691,1620552711
64,1,"addr(ip='192.168.1.38', port=49042)","addr(ip='142.250.201.68', port=443)",4093,1620552691,1620552711
66,2,"addr(ip='192.168.1.38', port=36952)","addr(ip='142.250.201.68', port=443)",4093,1620552691,1620552721
69,2,"addr(ip='192.168.1.38', port=47870)","addr(ip='142.250.184.14', port=443)",4093,1620552691,1620552731
79,2,"addr(ip='192.168.1.38', port=40670)","addr(ip='142.250.200.110', port=443)",4093,1620552701,1620552731
73,2,"addr(ip='192.168.1.38', port=44684)","addr(ip='216.58.215.142', port=443)",4093,1620552701,1620552731
86,2,"addr(ip='192.168.1.38', port=42597)","addr(ip='142.250.200.67', port=443)",4093,1620552701,1620552731
74,2,"addr(ip='192.168.1.38', port=55731)","addr(ip='142.250.200.78', port=443)",4093,1620552701,1620552731
75,2,"addr(ip='192.168.1.38', port=40806)","addr(ip='142.250.200.99', port=443)",4093,1620552701,1620552731
77,2,"addr(ip='192.168.1.38', port=44822)","addr(ip='172.217.17.3', port=443)",4093,1620552701,1620552731
80,2,"addr(ip='192.168.1.38', port=55951)","addr(ip='142.250.185.1', port=443)",4093,1620552701,1620552731
115,1,"addr(ip='192.168.1.38', port=45476)","addr(ip='198.148.27.134', port=443)",4093,1620552721,1620552731
96,1,"addr(ip='192.168.1.38', port=57986)","addr(ip='87.230.98.74', port=443)",4093,1620552721,1620552731
90,2,"addr(ip='192.168.1.38', port=46594)","addr(ip='172.217.168.162', port=443)",4093,1620552711,1620552742
89,2,"addr(ip='192.168.1.38', port=48368)","addr(ip='142.250.185.10', port=443)",4093,1620552711,1620552742
128,1,"addr(ip='192.168.1.38', port=59452)","addr(ip='3.124.210.90', port=443)",4093,1620552721,1620552742
118,1,"addr(ip='192.168.1.38', port=49882)","addr(ip='37.252.173.27', port=443)",4093,1620552721,1620552742
117,1,"addr(ip='192.168.1.38', port=49880)","addr(ip='37.252.173.27', port=443)",4093,1620552721,1620552742
67,2,"addr(ip='192.168.1.38', port=34108)","addr(ip='142.250.184.170', port=443)",4093,1620552721,1620552742
142,1,"addr(ip='192.168.1.38', port=38384)","addr(ip='185.33.220.243', port=443)",4093,1620552731,1620552742
80,1,"addr(ip='192.168.1.38', port=45542)","addr(ip='198.148.27.134', port=443)",4093,1620552731,1620552742
113,2,"addr(ip='192.168.1.38', port=49463)","addr(ip='142.250.200.99', port=443)",4093,1620552721,1620552752
154,2,"addr(ip='192.168.1.38', port=44526)","addr(ip='142.250.200.129', port=443)",4093,1620552721,1620552752
107,2,"addr(ip='192.168.1.38', port=45629)","addr(ip='142.250.200.67', port=443)",4093,1620552721,1620552752
130,2,"addr(ip='192.168.1.38', port=44032)","addr(ip='142.250.185.2', port=443)",4093,1620552721,1620552752
141,2,"addr(ip='192.168.1.38', port=38826)","addr(ip='142.250.200.98', port=443)",4093,1620552721,1620552752
114,2,"addr(ip='192.168.1.38', port=54762)","addr(ip='142.250.185.10', port=443)",4093,1620552721,1620552752
74,2,"addr(ip='192.168.1.38', port=34640)","addr(ip='216.58.215.134', port=443)",4093,1620552731,1620552752
165,1,"addr(ip='192.168.1.38', port=41080)","addr(ip='69.169.86.38', port=443)",4093,1620552742,1620552752
61,2,"addr(ip='192.168.1.38', port=35597)","addr(ip='142.250.201.68', port=443)",4093,1620552691,1620552762
65,2,"addr(ip='192.168.1.38', port=53802)","addr(ip='216.58.209.66', port=443)",4093,1620552701,1620552762
121,2,"addr(ip='192.168.1.38', port=55002)","addr(ip='142.250.184.161', port=443)",4093,1620552721,1620552762
138,2,"addr(ip='192.168.1.38', port=55848)","addr(ip='142.250.201.66', port=443)",4093,1620552721,1620552762
137,2,"addr(ip='192.168.1.38', port=42731)","addr(ip='142.250.200.65', port=443)",4093,1620552721,1620552762
110,2,"addr(ip='192.168.1.38', port=44511)","addr(ip='142.250.184.10', port=443)",4093,1620552721,1620552762
106,2,"addr(ip='192.168.1.38', port=57428)","addr(ip='216.58.209.66', port=443)",4093,1620552721,1620552762
122,1,"addr(ip='192.168.1.38', port=60154)","addr(ip='216.105.38.9', port=443)",4093,1620552721,1620552762
109,1,"addr(ip='192.168.1.38', port=33822)","addr(ip='216.52.2.39', port=443)",4093,1620552721,1620552762
96,1,"addr(ip='192.168.1.38', port=36314)","addr(ip='37.157.4.24', port=443)",4093,1620552731,1620552762
86,1,"addr(ip='192.168.1.38', port=52032)","addr(ip='37.157.6.235', port=443)",4093,1620552731,1620552762
148,1,"addr(ip='192.168.1.38', port=38386)","addr(ip='185.33.220.243', port=443)",4093,1620552731,1620552762
153,1,"addr(ip='192.168.1.38', port=59570)","addr(ip='3.124.210.90', port=443)",4093,1620552742,1620552762
178,1,"addr(ip='192.168.1.38', port=49680)","addr(ip='185.86.137.131', port=443)",4093,1620552742,1620552762
174,1,"addr(ip='192.168.1.38', port=39412)","addr(ip='95.100.105.110', port=443)",4093,1620552742,1620552762
142,1,"addr(ip='192.168.1.38', port=34598)","addr(ip='37.252.172.37', port=443)",4093,1620552742,1620552762
156,1,"addr(ip='192.168.1.38', port=54872)","addr(ip='18.156.0.31', port=443)",4093,1620552742,1620552762
175,1,"addr(ip='192.168.1.38', port=54792)","addr(ip='77.243.60.138', port=443)",4093,1620552742,1620552762
149,1,"addr(ip='192.168.1.38', port=47412)","addr(ip='52.209.246.140', port=443)",4093,1620552742,1620552762
92,1,"addr(ip='192.168.1.38', port=51684)","addr(ip='51.89.7.110', port=443)",4093,1620552742,1620552762
155,1,"addr(ip='192.168.1.38', port=48408)","addr(ip='52.218.61.11', port=443)",4093,1620552742,1620552762
132,1,"addr(ip='192.168.1.38', port=33924)","addr(ip='85.114.159.93', port=443)",4093,1620552742,1620552762
182,1,"addr(ip='192.168.1.38', port=42948)","addr(ip='146.59.148.16', port=443)",4093,1620552742,1620552762
152,1,"addr(ip='192.168.1.38', port=50068)","addr(ip='37.252.173.27', port=443)",4093,1620552752,1620552762
93,2,"addr(ip='192.168.1.38', port=51463)","addr(ip='142.250.201.78', port=443)",4093,1620552711,1620552772
64,2,"addr(ip='192.168.1.38', port=45187)","addr(ip='142.250.200.78', port=443)",4093,1620552711,1620552772
115,2,"addr(ip='192.168.1.38', port=50278)","addr(ip='172.217.17.2', port=443)",4093,1620552731,1620552772
125,1,"addr(ip='192.168.1.38', port=42338)","addr(ip='37.157.2.238', port=443)",4093,1620552731,1620552772
