date,clicks,pulsations,moves,scrolls
2021-03-31 16:27:03,0,0,32,0
2021-03-31 16:27:05,1,0,97,0
2021-03-31 16:27:07,1,0,19,0
2021-03-31 16:27:09,1,0,37,0
2021-03-31 16:27:11,0,0,53,0
2021-03-31 16:27:13,0,0,50,0
2021-03-31 16:27:15,1,0,1,0
2021-03-31 16:27:17,0,0,79,4
2021-03-31 16:27:19,0,0,106,4
2021-03-31 16:27:21,2,0,61,0
2021-03-31 16:27:23,1,0,168,0
2021-03-31 16:27:25,0,0,49,0
2021-03-31 16:27:27,0,0,118,0
2021-03-31 16:27:29,1,0,8,0
2021-03-31 16:27:31,0,0,5,0
2021-03-31 16:27:33,1,0,104,0
2021-03-31 16:27:35,0,0,116,0
2021-03-31 16:27:37,0,0,5,0
2021-03-31 16:27:39,0,2,34,0
2021-03-31 16:27:41,0,3,21,0
2021-03-31 16:27:43,1,0,175,0
2021-03-31 16:27:45,1,0,88,0
2021-03-31 16:27:47,0,0,178,0
2021-03-31 16:27:49,1,0,108,0
2021-03-31 16:27:51,0,3,43,0
2021-03-31 16:27:53,0,5,0,0
2021-03-31 16:27:55,0,0,85,0
2021-03-31 16:27:57,1,0,5,0
2021-03-31 16:27:59,1,0,42,0
2021-03-31 16:28:01,0,0,49,0
2021-03-31 16:28:03,1,0,84,0
2021-03-31 16:28:05,2,0,105,0
2021-03-31 16:28:07,4,0,101,0
2021-03-31 16:28:09,3,0,30,0
2021-03-31 16:28:11,2,0,25,0
2021-03-31 16:28:13,0,6,10,0
2021-03-31 16:28:15,0,2,62,0
2021-03-31 16:28:17,0,0,52,0
2021-03-31 16:28:19,1,0,0,0
2021-03-31 16:28:21,1,0,73,0
2021-03-31 16:28:23,0,0,115,0
2021-03-31 16:28:25,1,0,133,0
2021-03-31 16:28:27,1,0,115,0
2021-03-31 16:28:29,1,0,93,0
2021-03-31 16:28:31,2,0,130,0
2021-03-31 16:28:33,0,4,5,0
2021-03-31 16:28:35,0,3,59,0
2021-03-31 16:28:37,1,0,115,0
2021-03-31 16:28:39,1,0,128,0
2021-03-31 16:28:41,1,0,159,0
2021-03-31 16:28:43,3,1,69,0
