pid,name,create_time,cores,cpu_usage,nice,memory_usage,n_threads,childrens,username,FinishTime
19267,chrome,2021-05-09 11:03:48,4,4.1,0,19148800.0,13,[],ramos,1620552708
19702,kworker/u9:0,2021-05-09 11:26:30,4,0.0,-20,0.0,1,[],root,1620552708
19916,chrome,2021-05-09 11:31:28,4,0.0,0,11534336.0,12,[],ramos,1620552708
19930,chrome,2021-05-09 11:31:28,4,0.0,0,13443072.0,12,[],ramos,1620552708
19963,chrome,2021-05-09 11:31:32,4,0.0,0,4255744.0,11,[],ramos,1620552708
20019,chrome,2021-05-09 11:31:55,4,0.0,0,5648384.0,11,[],ramos,1620552735
20031,chrome,2021-05-09 11:31:56,4,0.0,0,26386432.0,12,[],ramos,1620552735
20007,chrome,2021-05-09 11:31:51,4,0.0,0,9494528.0,12,[],ramos,1620552748
20144,chrome,2021-05-09 11:32:19,4,0.0,0,9183232.0,12,[],ramos,1620552760
20128,tracker-store,2021-05-09 11:32:15,4,0.0,0,20033536.0,5,[],ramos,1620552773
20185,file-roller,2021-05-09 11:32:21,4,14.2,0,13537280.0,5,[],ramos,1620552773
20084,chrome,2021-05-09 11:32:01,4,0.2,0,5701632.0,10,[],ramos,1620552786
20097,chrome,2021-05-09 11:32:07,4,5.3,0,29810688.0,12,[],ramos,1620552786
20109,chrome,2021-05-09 11:32:08,4,1.4,0,7413760.0,12,[],ramos,1620552786
20269,chrome,2021-05-09 11:33:06,4,0.0,0,9621504.0,12,[],ramos,1620552811
19991,chrome,2021-05-09 11:31:43,4,44.1,0,61386752.0,12,[],ramos,1620552824
20159,chrome,2021-05-09 11:32:21,4,0.6,0,5791744.0,12,[],ramos,1620552824
20218,chrome,2021-05-09 11:32:55,4,11.0,0,40542208.0,15,[],ramos,1620552824
20232,chrome,2021-05-09 11:32:57,4,15.6,0,9375744.0,12,[],ramos,1620552824
20251,chrome,2021-05-09 11:32:58,4,0.1,0,4308992.0,10,[],ramos,1620552824
19957,chrome,2021-05-09 11:31:29,4,0.0,0,999424.0,4,[],ramos,1620552838
20616,chrome,2021-05-09 11:33:47,4,0.1,0,9809920.0,12,[],ramos,1620552864
20670,tracker-store,2021-05-09 11:34:25,4,0.0,0,13422592.0,5,[],ramos,1620552902
20467,chrome,2021-05-09 11:33:41,4,28.9,0,65863680.0,14,[],ramos,1620552916
20480,chrome,2021-05-09 11:33:43,4,0.9,0,13443072.0,11,[],ramos,1620552916
20498,chrome,2021-05-09 11:33:45,4,0.1,0,7327744.0,11,[],ramos,1620552916
20505,chrome,2021-05-09 11:33:45,4,0.2,0,6782976.0,11,[],ramos,1620552916
20522,chrome,2021-05-09 11:33:45,4,0.1,0,5767168.0,11,[],ramos,1620552916
20523,chrome,2021-05-09 11:33:45,4,0.0,0,7041024.0,11,[],ramos,1620552916
20535,chrome,2021-05-09 11:33:45,4,0.1,0,5742592.0,11,[],ramos,1620552916
20558,chrome,2021-05-09 11:33:45,4,0.4,0,7327744.0,11,[],ramos,1620552916
20584,chrome,2021-05-09 11:33:45,4,16.9,0,45805568.0,12,[],ramos,1620552916
20603,chrome,2021-05-09 11:33:46,4,0.1,0,4325376.0,10,[],ramos,1620552916
20865,chrome,2021-05-09 11:35:18,4,0.0,0,9740288.0,12,[],ramos,1620552943
19975,chrome,2021-05-09 11:31:40,4,6.2,0,22331392.0,12,[],ramos,1620552983
20924,chrome,2021-05-09 11:35:54,4,0.0,0,4304896.0,12,[],ramos,1620552983
20940,chrome,2021-05-09 11:35:57,4,0.1,0,9822208.0,12,[],ramos,1620553008
19990,kworker/u9:0,2021-05-09 11:31:41,4,0.0,-20,0.0,1,[],root,1620553020
20984,chrome,2021-05-09 11:36:15,4,7.4,0,21659648.0,11,[],ramos,1620553033
20999,chrome,2021-05-09 11:36:17,4,0.0,0,4313088.0,10,[],ramos,1620553033
20143,kworker/u8:1,2021-05-09 11:32:19,4,0.0,0,0.0,1,[],root,1620553046
21095,chrome,2021-05-09 11:37:18,4,0.0,0,11067392.0,12,[],ramos,1620553058
21156,file-roller,2021-05-09 11:37:32,4,0.0,0,13598720.0,6,[],ramos,1620553071
21039,chrome,2021-05-09 11:37:07,4,2.4,0,23613440.0,11,[],ramos,1620553097
21070,chrome,2021-05-09 11:37:17,4,0.2,0,5451776.0,10,[],ramos,1620553097
21083,chrome,2021-05-09 11:37:18,4,9.6,0,23220224.0,12,[],ramos,1620553097
21110,chrome,2021-05-09 11:37:19,4,0.0,0,4308992.0,10,[],ramos,1620553097
20952,chrome,2021-05-09 11:36:07,4,0.0,0,987136.0,4,[],ramos,1620553110
21026,tracker-store,2021-05-09 11:37:03,4,1.1,0,20480000.0,5,[],ramos,1620553110
21273,chrome,2021-05-09 11:38:18,4,0.0,0,9646080.0,12,[],ramos,1620553123
21295,sudo,2021-05-09 11:38:21,4,0.0,0,0.0,1,[21301],root,1620553123
21301,dpkg,2021-05-09 11:38:23,4,0.0,0,0.0,1,[],root,1620553123
18538,kworker/2:0-events,2021-05-09 10:44:18,1,0.0,0,0.0,1,[],root,1620553136
20602,kworker/2:2-cgroup_destroy,2021-05-09 11:33:46,1,0.0,0,0.0,1,[],root,1620553136
21225,chrome,2021-05-09 11:38:08,4,0.0,0,5369856.0,10,[],ramos,1620553136
21237,chrome,2021-05-09 11:38:08,4,0.3,0,6840320.0,11,[],ramos,1620553136
21682,tracker-store,2021-05-09 11:38:35,4,0.0,0,17219584.0,5,[],ramos,1620553148
21705,gnome-calculator-search-provider,2021-05-09 11:38:40,4,0.2,0,9695232.0,3,[],ramos,1620553161
21707,org.gnome.Chara,2021-05-09 11:38:40,4,1.1,0,16515072.0,7,[],ramos,1620553161
21880,chrome,2021-05-09 11:39:00,4,0.0,0,10276864.0,12,[],ramos,1620553161
21703,gnome-control-center-search-provider,2021-05-09 11:38:40,4,0.2,0,9797632.0,3,[],ramos,1620553187
22079,dpkg,2021-05-09 11:39:57,4,0.0,0,0.0,1,[22081],root,1620553213
22081,openoffice-debi,2021-05-09 11:39:57,4,0.0,0,0.0,1,[22082],root,1620553213
22082,update-mime-database,2021-05-09 11:39:57,4,0.0,0,0.0,1,[],root,1620553213
22044,PK-Backend,2021-05-09 11:39:56,4,1.1,0,0.0,1,"[22132, 22079]",root,1620553226
22132,PK-Backend,2021-05-09 11:40:09,4,0.0,0,0.0,1,[22140],root,1620553226
22140,sh,2021-05-09 11:40:09,4,0.0,0,0.0,1,[22142],root,1620553226
22142,update-motd-upd,2021-05-09 11:40:09,4,0.0,0,0.0,1,[22156],root,1620553226
22156,apt-check,2021-05-09 11:40:09,4,0.0,19,0.0,1,[22243],root,1620553226
19358,kworker/3:0-events,2021-05-09 11:07:08,1,0.0,0,0.0,1,[],root,1620553251
22070,tracker-store,2021-05-09 11:39:57,4,0.4,0,20320256.0,5,[],ramos,1620553251
22399,gnome-calculator-search-provider,2021-05-09 11:40:24,4,0.0,0,9703424.0,3,[],ramos,1620553264
22400,org.gnome.Chara,2021-05-09 11:40:24,4,0.2,0,15015936.0,7,[],ramos,1620553264
22398,gnome-control-center-search-provider,2021-05-09 11:40:24,4,0.0,0,9781248.0,3,[],ramos,1620553290
22759,soffice,2021-05-09 11:41:18,4,0.0,0,229376.0,1,[22770],ramos,1620553303
22770,soffice.bin,2021-05-09 11:41:18,4,0.0,0,119554048.0,8,[],ramos,1620553303
21212,chrome,2021-05-09 11:38:06,4,5.3,0,21524480.0,12,[],ramos,1620553316
21867,chrome,2021-05-09 11:38:52,4,0.0,0,4341760.0,11,[],ramos,1620553316
22796,gnome-calculator-search-provider,2021-05-09 11:41:36,4,0.0,0,9719808.0,3,[],ramos,1620553329
22797,org.gnome.Chara,2021-05-09 11:41:36,4,0.1,0,16584704.0,7,[],ramos,1620553341
22980,chrome,2021-05-09 11:42:00,4,0.0,0,10309632.0,12,[],ramos,1620553341
19701,kworker/u8:0-events_power_efficient,2021-05-09 11:26:24,4,0.1,0,0.0,1,[],root,1620553354
22793,gnome-control-center-search-provider,2021-05-09 11:41:36,4,0.0,0,9785344.0,3,[],ramos,1620553367
22968,tracker-store,2021-05-09 11:41:58,4,0.4,0,20246528.0,5,[],ramos,1620553380
23080,nm-dispatcher,2021-05-09 11:42:40,4,0.0,0,0.0,3,[],root,1620553380
23138,tracker-store,2021-05-09 11:43:04,4,0.0,0,12275712.0,5,[],ramos,1620553418
23197,gnome-calculator-search-provider,2021-05-09 11:43:08,4,0.0,0,9703424.0,3,[],ramos,1620553418
23199,org.gnome.Chara,2021-05-09 11:43:08,4,0.1,0,16142336.0,7,[],ramos,1620553431
23195,gnome-control-center-search-provider,2021-05-09 11:43:08,4,0.1,0,9900032.0,3,[],ramos,1620553457
22897,chrome,2021-05-09 11:41:48,4,7.3,0,26222592.0,12,[],ramos,1620553470
22912,chrome,2021-05-09 11:41:50,4,5.9,0,11984896.0,10,[],ramos,1620553470
22930,chrome,2021-05-09 11:41:57,4,0.2,0,12656640.0,10,[],ramos,1620553470
22954,chrome,2021-05-09 11:41:58,4,0.0,0,4268032.0,10,[],ramos,1620553470
23321,chrome,2021-05-09 11:44:12,4,0.0,0,11038720.0,12,[],ramos,1620553470
23353,chrome,2021-05-09 11:44:21,4,0.0,0,50606080.0,19,[],ramos,1620553483
23365,chrome,2021-05-09 11:44:24,4,0.0,0,4317184.0,12,[],ramos,1620553483
20454,kworker/2:1-events,2021-05-09 11:33:41,1,1.7,0,0.0,1,[],root,1620553509
23389,chrome,2021-05-09 11:44:28,4,0.1,0,9904128.0,12,[],ramos,1620553509
22001,packagekitd,2021-05-09 11:39:45,4,4.4,0,0.0,3,[22044],root,1620553535
23484,chrome,2021-05-09 11:45:11,4,0.0,0,9687040.0,12,[],ramos,1620553535
23438,chrome,2021-05-09 11:44:36,4,16.8,0,28254208.0,11,[],ramos,1620553548
23471,chrome,2021-05-09 11:44:58,4,6.3,0,41156608.0,12,[],ramos,1620553561
23512,tracker-store,2021-05-09 11:45:38,4,0.0,0,20385792.0,5,[],ramos,1620553574
23573,chrome,2021-05-09 11:45:55,4,1.2,0,11042816.0,12,[],ramos,1620553587
15372,fwupd,2021-05-09 09:46:35,4,0.1,0,0.0,5,[],root,1620553600
23750,chrome,2021-05-09 11:46:31,4,0.0,0,10264576.0,12,[],ramos,1620553613
23705,tracker-store,2021-05-09 11:46:23,4,0.1,0,20516864.0,5,[],ramos,1620553626
23743,systemd-hostnamed,2021-05-09 11:46:31,4,0.0,0,0.0,1,[],root,1620553626
23811,dpkg-deb,2021-05-09 11:46:50,4,0.0,0,0.0,1,"[23812, 23813]",root,1620553626
23812,dpkg-deb,2021-05-09 11:46:50,4,0.0,0,0.0,1,[],root,1620553626
23813,dpkg-deb,2021-05-09 11:46:50,4,0.0,0,0.0,1,[],root,1620553626
