EventId,EventTemplate,Occurrences
db3f31be,checking bus <*> device <*> <*>,4
6a05fd50,<info> <*> device <*> state change: <*> -> <*> (reason <*> sys-iface-state: <*>,28
87f714e9,ERROR:esys:src/tss2-esys/esys_context.c:69:Esys_Initialize() Initialize default tcti. ErrorCode (0x000a000a),1
a391ede5,<*>:0033 FuEngine device e421b2fc248391f6fe3e55ddbb3c9043be068bd0 [TOSHIBA THNSNK256GVN8] does not define a vendor-id!,1
790454b8,Fetching metadata https://cdn.fwupd.org/downloads/firmware.xml.gz,1
7d5ff1b0,bus: <*> device: <*> was not an MTP device,4
2f7c7c80,<info> <*> manager: NetworkManager state is now <*>,8
ac16e0ed,power: setting force_power to <*>,2
77426252,power: state changed: <*>,3
3599a8b3,Endpoint registered: sender=:1.74 <*>,2
1757fce9,power: guard '3' for 'fwupd' <*>,2
e8c40a92,"<info> [1614422728.0540] sup-iface[0x55b7ef2a7b00,wlp1s0]: supports 5 scan SSIDs",1
de230850,[system] Successfully activated service <*>,21
11fbecd5,<info> <*> device (wlp1s0): supplicant interface state: <*> -> <*>,4
9498ca2b,wlp1s0: CTRL-EVENT-REGDOM-CHANGE init=BEACON_HINT type=UNKNOWN,2
8874fbb6,Started Firmware update daemon.,1
ed6d1e8b,man-db.service: Succeeded.,1
a163db63,Finished Daily man-db regeneration.,1
35d17777,"fwupd-refresh.service: Main process exited, code=exited, status=1/FAILURE",1
2f8af4a6,fwupd-refresh.service: Failed with result 'exit-code'.,1
e13185af,Failed to start Refresh fwupd metadata and update motd.,1
ea1218ec,logrotate.service: Succeeded.,1
186c606e,Finished Rotate log files.,1
f0b7d6b0,<*> pcieport 0000:00:1c.0: AER: Corrected error received: 0000:00:1c.0,3305
a919d150,"<*> pcieport 0000:00:1c.0: AER: PCIe Bus Error: severity=Corrected, type=Data Link Layer, (Transmitter ID)",3297
578fdfc5,<*> pcieport 0000:00:1c.0: AER: device [8086:9d13] error <*>,3297
181af6fb,<*> pcieport 0000:00:1c.0: AER: [12] Timeout,3297
702467a3,message repeated 3 times: [ wlp1s0: CTRL-EVENT-REGDOM-CHANGE init=BEACON_HINT type=UNKNOWN],1
f5f955f9,<info> Couldn't check support for device <*> not supported by any plugin,2
736986a1,apt-daily.service: Succeeded.,1
eaf939ab,Finished Daily apt download activities.,1
76b18ae2,Starting Daily apt upgrade and clean activities...,1
cf041830,systemd-rfkill.service: Succeeded.,2
e670e678,<info> [1614422732.9705] policy: auto-activating connection 'MOVISTAR_6450' (d6c49ea2-aae3-4714-9973-a303b3003b16),1
f113a34c,<info> [1614422732.9710] device (wlp1s0): Activation: starting connection 'MOVISTAR_6450' (d6c49ea2-aae3-4714-9973-a303b3003b16),1
fdec5f16,"<info> [1614422732.9721] device (wlp1s0): Activation: (wifi) access point 'MOVISTAR_6450' has security, but secrets are required.",1
d8b17631,"<info> [1614422732.9725] sup-iface[0x55b7ef2a7b00,wlp1s0]: wps: type pbc start...",1
c11a9627,"<info> [1614422732.9758] device (wlp1s0): Activation: (wifi) connection 'MOVISTAR_6450' has security, and secrets exist. No new secrets needed.",1
c89b96ba,<info> [1614422732.9759] Config: added <*> value <*>,5
