fd,family,type,laddr,raddr,status,pid,detection_time,close
9,2,1,"addr(ip='127.0.0.1', port=49152)",(),LISTEN,4519.0,2021-03-26 11:44:33.575537,open
74,2,1,"addr(ip='192.168.1.53', port=55218)","addr(ip='138.100.17.133', port=143)",ESTABLISHED,8586.0,2021-03-26 11:44:33.575542,2021-03-26 11:44:42.776398
39,2,1,"addr(ip='192.168.1.53', port=54890)","addr(ip='216.58.215.164', port=443)",ESTABLISHED,2595.0,2021-03-26 11:44:33.575543,open
-1,2,1,"addr(ip='192.168.1.53', port=52690)","addr(ip='142.250.184.3', port=443)",TIME_WAIT,,2021-03-26 11:44:33.575544,open
-1,2,1,"addr(ip='127.0.0.53', port=53)",(),LISTEN,,2021-03-26 11:44:33.575552,open
152,2,2,"addr(ip='224.0.0.251', port=5353)",(),NONE,2540.0,2021-03-26 11:44:33.575554,open
23,2,1,"addr(ip='192.168.1.53', port=45696)","addr(ip='31.13.83.51', port=443)",ESTABLISHED,2595.0,2021-03-26 11:44:33.575556,open
37,2,1,"addr(ip='192.168.1.53', port=33614)","addr(ip='216.58.211.238', port=443)",ESTABLISHED,2595.0,2021-03-26 11:44:33.575557,open
-1,2,2,"addr(ip='192.168.1.53', port=68)","addr(ip='192.168.1.1', port=67)",NONE,,2021-03-26 11:44:33.575559,open
68,2,1,"addr(ip='192.168.1.53', port=33715)","addr(ip='52.114.76.232', port=443)",ESTABLISHED,2519.0,2021-03-26 11:44:33.575560,2021-03-26 11:44:48.883933
-1,2,2,"addr(ip='0.0.0.0', port=5353)",(),NONE,,2021-03-26 11:44:33.575562,open
38,10,2,"addr(ip='::', port=34617)",(),NONE,2519.0,2021-03-26 11:44:33.575564,2021-03-26 11:44:48.883933
-1,10,2,"addr(ip='::', port=5353)",(),NONE,,2021-03-26 11:44:33.575565,open
83,2,1,"addr(ip='192.168.1.53', port=40940)","addr(ip='64.233.167.108', port=993)",ESTABLISHED,8586.0,2021-03-26 11:44:33.575566,2021-03-26 11:44:42.776398
76,2,1,"addr(ip='192.168.1.53', port=32926)","addr(ip='138.100.4.175', port=993)",ESTABLISHED,8586.0,2021-03-26 11:44:33.575567,2021-03-26 11:44:42.776398
-1,2,2,"addr(ip='0.0.0.0', port=631)",(),NONE,,2021-03-26 11:44:33.575567,open
-1,10,1,"addr(ip='::1', port=631)",(),LISTEN,,2021-03-26 11:44:33.575568,open
-1,10,2,"addr(ip='::', port=50489)",(),NONE,,2021-03-26 11:44:33.575570,open
32,2,1,"addr(ip='192.168.1.53', port=44114)","addr(ip='173.194.76.188', port=5228)",ESTABLISHED,2595.0,2021-03-26 11:44:33.575571,open
42,2,2,"addr(ip='192.168.1.53', port=45534)","addr(ip='216.58.215.131', port=443)",NONE,2595.0,2021-03-26 11:44:33.575571,2021-03-26 11:44:54.935627
36,2,1,"addr(ip='192.168.1.53', port=44374)","addr(ip='52.114.74.247', port=443)",ESTABLISHED,2363.0,2021-03-26 11:44:33.575572,2021-03-26 11:44:48.883933
34,2,1,"addr(ip='192.168.1.53', port=35466)","addr(ip='172.217.17.14', port=443)",ESTABLISHED,2595.0,2021-03-26 11:44:33.575573,open
27,2,1,"addr(ip='192.168.1.53', port=48010)","addr(ip='52.114.104.166', port=443)",ESTABLISHED,2363.0,2021-03-26 11:44:33.575574,open
45,2,1,"addr(ip='192.168.1.53', port=34858)","addr(ip='216.58.215.162', port=443)",ESTABLISHED,2595.0,2021-03-26 11:44:33.575575,open
144,2,2,"addr(ip='224.0.0.251', port=5353)",(),NONE,2595.0,2021-03-26 11:44:33.575576,open
70,10,2,"addr(ip='::', port=51301)",(),NONE,2519.0,2021-03-26 11:44:33.575577,2021-03-26 11:44:48.883933
-1,2,2,"addr(ip='127.0.0.53', port=53)",(),NONE,,2021-03-26 11:44:33.575578,open
-1,2,1,"addr(ip='127.0.0.1', port=631)",(),LISTEN,,2021-03-26 11:44:33.575579,open
-1,2,2,"addr(ip='0.0.0.0', port=47254)",(),NONE,,2021-03-26 11:44:33.575580,open
17,2,1,"addr(ip='127.0.0.1', port=46406)","addr(ip='127.0.0.1', port=49152)",ESTABLISHED,4455.0,2021-03-26 11:44:33.575581,open
10,2,1,"addr(ip='127.0.0.1', port=49152)","addr(ip='127.0.0.1', port=46406)",ESTABLISHED,4519.0,2021-03-26 11:44:33.575582,open
123,2,2,"addr(ip='192.168.1.53', port=60403)",(),NONE,2540.0,2021-03-26 11:44:42.773999,2021-03-26 11:44:45.835748
-1,2,1,"addr(ip='192.168.1.53', port=34505)","addr(ip='13.107.3.128', port=443)",TIME_WAIT,,2021-03-26 11:44:48.881465,open
