pid,name,create_time,cores,cpu_usage,status,nice,memory_usage,n_threads,username
1,systemd,2021-03-02 21:05:02,4,0.0,sleeping,0,0,1,root
2,kthreadd,2021-03-02 21:05:02,4,0.0,sleeping,0,0,1,root
3,rcu_gp,2021-03-02 21:05:02,1,0.0,idle,-20,0,1,root
4,rcu_par_gp,2021-03-02 21:05:02,4,0.0,idle,-20,0,1,root
6,kworker/0:0H-kblockd,2021-03-02 21:05:02,1,0.0,idle,-20,0,1,root
9,mm_percpu_wq,2021-03-02 21:05:02,1,0.0,idle,-20,0,1,root
10,ksoftirqd/0,2021-03-02 21:05:02,1,0.0,sleeping,0,0,1,root
11,rcu_sched,2021-03-02 21:05:02,4,0.0,idle,0,0,1,root
12,migration/0,2021-03-02 21:05:02,1,0.0,sleeping,0,0,1,root
13,idle_inject/0,2021-03-02 21:05:02,1,0.0,sleeping,0,0,1,root
14,cpuhp/0,2021-03-02 21:05:02,1,0.0,sleeping,0,0,1,root
15,cpuhp/1,2021-03-02 21:05:02,1,0.0,sleeping,0,0,1,root
16,idle_inject/1,2021-03-02 21:05:02,1,0.0,sleeping,0,0,1,root
17,migration/1,2021-03-02 21:05:02,1,0.0,sleeping,0,0,1,root
18,ksoftirqd/1,2021-03-02 21:05:02,1,0.0,sleeping,0,0,1,root
20,kworker/1:0H-kblockd,2021-03-02 21:05:02,1,0.0,idle,-20,0,1,root
21,cpuhp/2,2021-03-02 21:05:02,1,0.0,sleeping,0,0,1,root
22,idle_inject/2,2021-03-02 21:05:02,1,0.0,sleeping,0,0,1,root
23,migration/2,2021-03-02 21:05:02,1,0.0,sleeping,0,0,1,root
24,ksoftirqd/2,2021-03-02 21:05:02,1,0.0,sleeping,0,0,1,root
26,kworker/2:0H-kblockd,2021-03-02 21:05:02,1,0.0,idle,-20,0,1,root
27,cpuhp/3,2021-03-02 21:05:02,1,0.0,sleeping,0,0,1,root
28,idle_inject/3,2021-03-02 21:05:02,1,0.0,sleeping,0,0,1,root
29,migration/3,2021-03-02 21:05:02,1,0.0,sleeping,0,0,1,root
30,ksoftirqd/3,2021-03-02 21:05:02,1,0.0,sleeping,0,0,1,root
32,kworker/3:0H-kblockd,2021-03-02 21:05:02,1,0.0,idle,-20,0,1,root
33,kdevtmpfs,2021-03-02 21:05:02,4,0.0,sleeping,0,0,1,root
34,netns,2021-03-02 21:05:02,4,0.0,idle,-20,0,1,root
35,rcu_tasks_kthre,2021-03-02 21:05:02,4,0.0,sleeping,0,0,1,root
36,rcu_tasks_rude_,2021-03-02 21:05:02,4,0.0,sleeping,0,0,1,root
37,rcu_tasks_trace,2021-03-02 21:05:02,4,0.0,sleeping,0,0,1,root
38,kauditd,2021-03-02 21:05:02,4,0.0,sleeping,0,0,1,root
41,khungtaskd,2021-03-02 21:05:02,4,0.0,sleeping,0,0,1,root
42,oom_reaper,2021-03-02 21:05:02,4,0.0,sleeping,0,0,1,root
43,writeback,2021-03-02 21:05:02,4,0.0,idle,-20,0,1,root
44,kcompactd0,2021-03-02 21:05:02,4,0.0,sleeping,0,0,1,root
45,ksmd,2021-03-02 21:05:02,4,0.0,sleeping,5,0,1,root
46,khugepaged,2021-03-02 21:05:02,4,0.0,sleeping,19,0,1,root
93,kintegrityd,2021-03-02 21:05:02,4,0.0,idle,-20,0,1,root
94,kblockd,2021-03-02 21:05:02,4,0.0,idle,-20,0,1,root
95,blkcg_punt_bio,2021-03-02 21:05:02,4,0.0,idle,-20,0,1,root
96,tpm_dev_wq,2021-03-02 21:05:02,4,0.0,idle,-20,0,1,root
97,ata_sff,2021-03-02 21:05:02,4,0.0,idle,-20,0,1,root
98,md,2021-03-02 21:05:02,4,0.0,idle,-20,0,1,root
99,edac-poller,2021-03-02 21:05:02,4,0.0,idle,-20,0,1,root
100,devfreq_wq,2021-03-02 21:05:02,4,0.0,idle,-20,0,1,root
101,watchdogd,2021-03-02 21:05:02,4,0.0,sleeping,0,0,1,root
103,pm_wq,2021-03-02 21:05:02,4,0.0,idle,-20,0,1,root
105,kswapd0,2021-03-02 21:05:02,4,0.0,sleeping,0,0,1,root
106,ecryptfs-kthrea,2021-03-02 21:05:02,4,0.0,sleeping,0,0,1,root
108,kthrotld,2021-03-02 21:05:02,4,0.0,idle,-20,0,1,root
109,irq/122-aerdrv,2021-03-02 21:05:02,1,0.0,sleeping,0,0,1,root
110,acpi_thermal_pm,2021-03-02 21:05:02,4,0.0,idle,-20,0,1,root
111,vfio-irqfd-clea,2021-03-02 21:05:02,4,0.0,idle,-20,0,1,root
115,ipv6_addrconf,2021-03-02 21:05:02,4,0.0,idle,-20,0,1,root
124,kstrp,2021-03-02 21:05:02,4,0.0,idle,-20,0,1,root
127,zswap-shrink,2021-03-02 21:05:02,4,0.0,idle,-20,0,1,root
133,charger_manager,2021-03-02 21:05:02,4,0.0,idle,-20,0,1,root
181,scsi_eh_0,2021-03-02 21:05:02,4,0.0,sleeping,0,0,1,root
182,scsi_tmf_0,2021-03-02 21:05:02,4,0.0,idle,-20,0,1,root
183,scsi_eh_1,2021-03-02 21:05:02,4,0.0,sleeping,0,0,1,root
184,scsi_tmf_1,2021-03-02 21:05:02,4,0.0,idle,-20,0,1,root
186,irq/109-ELAN050,2021-03-02 21:05:02,1,0.0,sleeping,0,0,1,root
189,kworker/0:1H-events_highpri,2021-03-02 21:05:03,1,0.0,idle,-20,0,1,root
192,kworker/1:1H-events_highpri,2021-03-02 21:05:03,1,0.0,idle,-20,0,1,root
193,kworker/2:1H-events_highpri,2021-03-02 21:05:03,1,0.0,idle,-20,0,1,root
212,jbd2/sda2-8,2021-03-02 21:05:03,4,0.0,sleeping,0,0,1,root
213,ext4-rsv-conver,2021-03-02 21:05:03,4,0.0,idle,-20,0,1,root
222,kworker/3:1H-events_highpri,2021-03-02 21:05:03,1,0.0,idle,-20,0,1,root
253,systemd-journald,2021-03-02 21:05:03,4,0.0,sleeping,-1,0,1,root
277,systemd-udevd,2021-03-02 21:05:03,4,0.0,sleeping,0,0,1,root
286,loop0,2021-03-02 21:05:03,4,0.0,sleeping,-20,0,1,root
291,loop1,2021-03-02 21:05:03,4,0.0,sleeping,-20,0,1,root
302,loop2,2021-03-02 21:05:03,4,0.0,sleeping,-20,0,1,root
306,loop3,2021-03-02 21:05:04,4,0.0,sleeping,-20,0,1,root
307,loop4,2021-03-02 21:05:04,4,0.0,sleeping,-20,0,1,root
308,loop5,2021-03-02 21:05:04,4,0.0,sleeping,-20,0,1,root
320,loop6,2021-03-02 21:05:04,4,0.0,sleeping,-20,0,1,root
329,loop7,2021-03-02 21:05:04,4,0.0,sleeping,-20,0,1,root
339,loop8,2021-03-02 21:05:04,4,0.0,sleeping,-20,0,1,root
340,loop9,2021-03-02 21:05:04,4,0.0,sleeping,-20,0,1,root
341,loop10,2021-03-02 21:05:04,4,0.0,sleeping,-20,0,1,root
342,loop11,2021-03-02 21:05:04,4,0.0,sleeping,-20,0,1,root
343,loop12,2021-03-02 21:05:04,4,0.0,sleeping,-20,0,1,root
344,loop13,2021-03-02 21:05:04,4,0.0,sleeping,-20,0,1,root
355,loop15,2021-03-02 21:05:04,4,0.0,sleeping,-20,0,1,root
358,cfg80211,2021-03-02 21:05:04,4,0.0,idle,-20,0,1,root
364,loop16,2021-03-02 21:05:04,4,0.0,sleeping,-20,0,1,root
367,cryptd,2021-03-02 21:05:04,4,0.0,idle,-20,0,1,root
371,loop17,2021-03-02 21:05:04,4,0.0,sleeping,-20,0,1,root
378,loop18,2021-03-02 21:05:04,4,0.0,sleeping,-20,0,1,root
398,ath10k_wq,2021-03-02 21:05:04,4,0.0,idle,-20,0,1,root
